"In the last 7 days, on how many days did you walk for at least 10 minutes at a time? (DO NOT SHOW SCREEN - DO NOT READ OUT)",Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Generation,Generation,Generation,Generation,Generation,Generation,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU,Gender and Age,Gender and Age,Gender and Age,Gender and Age,Gender and Age,Gender and Age,Gender and Age,Gender and Age,Exercise sport,Exercise sport,Exercise sport,Exercise sport,Physical activity,Physical activity,Physical activity,Physical activity,Exercise sport or physical activity,Exercise sport or physical activity,Exercise sport or physical activity,Exercise sport or physical activity,Walked at least 10 min in a week,Walked at least 10 min in a week,Walked at least 10 min in a week,Time spent sitting on a usual day,Time spent sitting on a usual day,Time spent sitting on a usual day,Time spent sitting on a usual day,Voluntary work,Voluntary work
n/a,n/a,Man,Woman, 15-24, 25-39, 40-54, 55 +, 15-24, 25-34,35-44,45-54,55-64,65-74,75+,Before 1928,1928 - 1945,Total 'Before 1946',"1946 - 1964 ""BB""","1965 - 1980 ""X""","After 1980 ""Y""",15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2,3.0,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative,Male 15-24,Male 25-39,Male 40-54,Male 55+,Female 15-24,Female 25-39,Female 40-54,Female 55+,Almost daily,A few times a week,Occasionally,Never,Almost daily,A few times a week,Occasionally,Never,Almost daily,A few times a week,Occasionally,Never,1-3 days,4-7 days,Never,2h30 or less,2h31 to 5h30,5h31 to 8h30,8h31 or more,Yes,No
TOTAL,28031,13524,14507,3640,6470,7031,10890,3640,4107,4599,4794,4118,4141,2630,84,3565,3649,8120,7535,8726,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491,5144.0,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848,1875,3260,3520,4869,1766,3209,3511,6021,1990,9126,3945,12897,3840,8375,5782,9913,4918,10868,4196,8049,6417,17251,4178,4579,11326,8105,3275,1602,26389
Never,4178,1983,2195,297,717,1048,2115,297,417,632,717,660,769,686,38,854,892,1362,1097,828,1079,1827,869,199,375,302,426,837,248,207,1584,199,2213,405,627,279,618,1252,272,1358,1260,1034,1471,669.0,1003,464,1226,2360,1207,699,1777,270,29,2890,1288,1402,1893,871,2431,443,1077,1551,422,2011,193,334,1411,984,1448,406,1649,750,1373,1418,2428,1843,2087,896,1322,898,380,1763,2018,3163,937,1400,1682,901,159,402,531,892,139,315,518,1223,96,509,430,3133,232,478,651,2808,293,706,608,2571,0,0,4178,681,1277,1162,835,104,4073
Never,0.15,0.15,0.15,0.08,0.11,0.15,0.19,0.08,0.1,0.14,0.15,0.16,0.19,0.26,0.45,0.24,0.24,0.17,0.14,0.09,0.23,0.15,0.1,0.08,0.17,0.1,0.13,0.14,0.16,0.12,0.21,0.08,0.16,0.12,0.1,0.15,0.26,0.15,0.16,0.16,0.14,0.18,0.16,0.13,0.13,0.22,0.18,0.13,0.17,0.18,0.14,0.11,0.13,0.16,0.14,0.17,0.15,0.12,0.12,0.16,0.26,0.15,0.3,0.13,0.32,0.1,0.14,0.13,0.2,0.11,0.13,0.15,0.19,0.12,0.16,0.12,0.19,0.12,0.14,0.19,0.11,0.13,0.18,0.13,0.22,0.13,0.15,0.19,0.08,0.12,0.15,0.18,0.08,0.1,0.15,0.2,0.05,0.06,0.11,0.24,0.06,0.06,0.11,0.28,0.06,0.06,0.15,0.32,- ,- ,1,0.15,0.11,0.14,0.26,0.07,0.15
1-3 days,6417,3260,3157,754,1423,1684,2556,754,883,1101,1123,933,998,625,26,837,863,1900,1778,1876,1000,2833,1956,475,527,688,912,1382,287,356,1790,475,3402,731,1241,422,515,1862,316,2048,2086,1249,2201,1210.0,1757,483,1595,4132,1474,938,3045,608,69,4457,1960,1906,3009,1491,4676,729,836,2335,283,3654,146,696,2463,1883,1374,803,3037,1165,1411,2662,3367,3690,2481,1635,2253,1197,725,3283,2376,5399,953,2357,2820,1109,424,782,891,1163,331,641,793,1393,208,2496,1215,2491,560,2318,1748,1778,666,3040,1317,1394,6417,0,0,1079,2461,1952,765,405,5998
1-3 days,0.23,0.24,0.22,0.21,0.22,0.24,0.23,0.21,0.21,0.24,0.23,0.23,0.24,0.24,0.3,0.24,0.24,0.23,0.24,0.22,0.21,0.24,0.23,0.19,0.24,0.23,0.27,0.23,0.19,0.2,0.23,0.19,0.24,0.22,0.21,0.22,0.22,0.22,0.19,0.24,0.23,0.22,0.23,0.24,0.23,0.23,0.24,0.22,0.21,0.23,0.23,0.24,0.31,0.24,0.21,0.23,0.24,0.2,0.23,0.27,0.2,0.23,0.2,0.23,0.24,0.21,0.25,0.25,0.19,0.21,0.25,0.24,0.2,0.23,0.23,0.24,0.22,0.22,0.23,0.25,0.22,0.25,0.21,0.23,0.22,0.21,0.25,0.23,0.23,0.24,0.25,0.24,0.19,0.2,0.23,0.23,0.1,0.27,0.31,0.19,0.15,0.28,0.3,0.18,0.14,0.28,0.31,0.17,1,- ,- ,0.23,0.22,0.24,0.23,0.25,0.23
4-7 days,17251,8186,9065,2559,4282,4253,6158,2559,2776,2835,2923,2491,2360,1306,19,1862,1882,4809,4608,5953,2605,7037,5640,1749,1268,2029,2026,3737,985,1195,4263,1749,8481,2176,4042,1173,1224,5357,1082,5204,5453,3295,5773,3213.0,4970,1168,3891,11824,4341,2359,8119,1630,123,11262,5990,4856,7525,4862,13238,1502,2188,6199,682,10122,249,2299,6053,4652,4248,2652,7366,2943,4290,7299,8832,10022,6521,4958,6208,2667,2251,8121,6799,14829,2317,7276,6798,2817,1275,2053,2070,2788,1284,2229,2183,3369,1676,6075,2277,7188,3040,5534,3345,5265,3942,7068,2234,4007,0,17251,0,2792,7558,4959,1668,1079,16157
4-7 days,0.61,0.6,0.62,0.7,0.66,0.6,0.57,0.7,0.68,0.61,0.61,0.6,0.57,0.5,0.23,0.52,0.52,0.59,0.61,0.68,0.56,0.6,0.66,0.72,0.58,0.66,0.6,0.62,0.64,0.67,0.56,0.72,0.6,0.65,0.68,0.62,0.51,0.63,0.65,0.6,0.62,0.59,0.61,0.62,0.64,0.55,0.57,0.64,0.62,0.59,0.62,0.64,0.56,0.6,0.64,0.59,0.6,0.67,0.65,0.56,0.53,0.61,0.49,0.64,0.42,0.69,0.61,0.61,0.6,0.68,0.61,0.6,0.6,0.64,0.6,0.64,0.58,0.66,0.63,0.55,0.67,0.61,0.6,0.63,0.55,0.65,0.6,0.58,0.68,0.63,0.59,0.57,0.73,0.69,0.62,0.56,0.84,0.67,0.58,0.56,0.79,0.66,0.58,0.53,0.8,0.65,0.53,0.5,- ,1,- ,0.61,0.67,0.61,0.51,0.67,0.61
DK,185,95,90,30,49,46,60,30,31,32,31,33,14,13,1,12,13,50,52,70,11,91,53,13,14,38,16,48,8,14,35,13,80,20,39,8,15,57,4,41,58,52,46,51.0,36,9,49,88,28,14,81,22,0,83,102,43,77,65,119,30,30,100,13,62,10,15,54,55,62,15,99,26,45,65,77,87,64,22,44,36,15,102,64,149,26,73,74,22,18,24,28,25,12,25,18,35,10,46,23,85,7,45,38,63,17,55,37,77,0,0,0,27,30,32,7,14,161
DK,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,- ,- ,0.02,- ,- ,0.01,0.01,0.01,- ,0.01,0.01,0.01,0.01,0.01,- ,0.01,0.01,0.01,- ,0.01,- ,0.01,0.01,0.01,0.01,- ,- ,- ,0.01,0.01,- ,0.01,- ,- ,0.01,0.01,- ,- ,0.01,0.01,- ,- ,0.01,0.01,0.01,0.01,- ,0.01,0.01,0.01,0.01,- ,0.02,- ,- ,0.01,0.01,- ,0.01,0.01,0.01,0.01,0.01,- ,0.01,- ,- ,0.01,- ,0.01,0.01,0.01,0.01,0.01,- ,- ,0.01,0.01,0.01,0.01,- ,0.01,- ,0.01,0.01,- ,- ,0.01,- ,- ,0.01,0.01,- ,0.01,0.01,0.01,- ,- ,- ,0.01,- ,0.01,- ,0.01,0.01
Moyenne/Average,4.4,4.3,4.4,4.9,4.7,4.3,4,4.9,4.7,4.4,4.3,4.3,4.1,3.6,1.9,3.8,3.8,4.2,4.3,4.8,3.9,4.3,4.7,4.9,4.2,4.6,4.3,4.4,4.5,4.7,4,4.9,4.3,4.5,4.7,4.4,3.7,4.4,4.5,4.3,4.4,4.1,4.3,4.4,4.5,3.9,4.1,4.5,4.3,4.2,4.4,4.5,4.2,4.3,4.5,4.2,4.3,4.6,4.6,4,3.8,4.3,3.5,4.5,3.2,4.8,4.3,4.4,4.2,4.8,4.3,4.2,4.2,4.5,4.3,4.5,4.2,4.6,4.5,4,4.7,4.4,4.3,4.5,3.9,4.6,4.3,4.1,4.8,4.5,4.2,4.1,4.9,4.8,4.4,4,5.7,4.7,4.2,3.9,5.4,4.7,4.1,3.8,5.5,4.6,3.9,3.6,2.2,6.2,0,4.4,4.7,4.3,3.7,4.8,4.3
