"How much time do you spend sitting on a usual day? This may include time spent at a desk, visiting friends, studying or watching television.",Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Generation,Generation,Generation,Generation,Generation,Generation,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU,Gender and Age,Gender and Age,Gender and Age,Gender and Age,Gender and Age,Gender and Age,Gender and Age,Gender and Age,Exercise sport,Exercise sport,Exercise sport,Exercise sport,Physical activity,Physical activity,Physical activity,Physical activity,Exercise sport or physical activity,Exercise sport or physical activity,Exercise sport or physical activity,Exercise sport or physical activity,Walked at least 10 min in a week,Walked at least 10 min in a week,Walked at least 10 min in a week,Time spent sitting on a usual day,Time spent sitting on a usual day,Time spent sitting on a usual day,Time spent sitting on a usual day,Voluntary work,Voluntary work
n/a,n/a,Man,Woman, 15-24, 25-39, 40-54, 55 +, 15-24, 25-34,35-44,45-54,55-64,65-74,75+,Before 1928,1928 - 1945,Total 'Before 1946',"1946 - 1964 ""BB""","1965 - 1980 ""X""","After 1980 ""Y""",15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2.0,3.0,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative,Male 15-24,Male 25-39,Male 40-54,Male 55+,Female 15-24,Female 25-39,Female 40-54,Female 55+,Almost daily,A few times a week,Occasionally,Never,Almost daily,A few times a week,Occasionally,Never,Almost daily,A few times a week,Occasionally,Never,1-3 days,4-7 days,Never,2h30 or less,2h31 to 5h30,5h31 to 8h30,8h31 or more,Yes,No
TOTAL,28031,13524,14507,3640,6470,7031,10890,3640,4107,4599,4794,4118,4141,2630,84,3565,3649,8120,7535,8726,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491.0,5144.0,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848,1875,3260,3520,4869,1766,3209,3511,6021,1990,9126,3945,12897,3840,8375,5782,9913,4918,10868,4196,8049,6417,17251,4178,4579,11326,8105,3275,1602,26389
2h30min or less,4579,1991,2588,453,1272,1342,1512,453,794,918,903,709,528,274,7,373,380,1290,1461,1448,779,2203,1270,194,427,395,369,1591,376,277,950,194,2511,650,718,378,280,1009,369,1298,1863,699,1461.0,907.0,1513,363,1304,2815,1327,738,2066,305,16,2990,1589,1551,1975,1053,3290,571,654,1845,149,2455,129,446,1671,1270,1193,519,1911,823,1326,1960,2324,2527,1841,1091,1698,735,481,2065,2010,3836,709,1679,2115,669,209,542,619,621,243,730,724,890,412,1384,746,2021,717,1386,947,1503,940,1678,777,1184,1079,2792,681,4579,0,0,0,275,4284
2h30min or less,0.16,0.15,0.18,0.12,0.2,0.19,0.14,0.12,0.19,0.2,0.19,0.17,0.12,0.11,0.09,0.1,0.1,0.16,0.19,0.17,0.17,0.19,0.15,0.08,0.19,0.13,0.11,0.27,0.25,0.15,0.12,0.08,0.18,0.19,0.12,0.2,0.12,0.12,0.22,0.15,0.21,0.13,0.15,0.18,0.19,0.17,0.19,0.15,0.19,0.18,0.16,0.12,0.07,0.16,0.17,0.19,0.16,0.14,0.16,0.21,0.16,0.18,0.11,0.15,0.22,0.13,0.17,0.17,0.17,0.14,0.16,0.17,0.19,0.17,0.16,0.16,0.16,0.14,0.17,0.15,0.14,0.16,0.18,0.16,0.17,0.15,0.19,0.14,0.11,0.17,0.18,0.13,0.14,0.23,0.21,0.15,0.21,0.15,0.19,0.16,0.19,0.17,0.16,0.15,0.19,0.15,0.18,0.15,0.17,0.16,0.16,1,- ,- ,- ,0.17,0.16
2h31min to 5h30min,11326,5525,5802,1274,2586,2834,4633,1274,1676,1810,1933,1771,1857,1004,16,1409,1425,3561,3038,3303,1965,5124,3341,730,963,998,1006,2877,690,794,3269,730,6045,1325,2243,747,858,3200,648,3700,3670,2091,4031.0,2058.0,3146,734,2810,7570,2971,1674,5258,943,65,7733,3593,3366,5287,2656,8204,1268,1624,3954,469,6751,151,1349,3910,3125,2943,1598,4985,1885,2858,4591,6018,6335,4533,3052,4015,1931,1417,5363,4508,9727,1520,4445,4708,1930,690,1309,1406,2120,584,1277,1428,2513,912,3839,1522,5044,1700,3731,2290,3576,2178,4647,1606,2896,2461,7558,1277,0,11326,0,0,688,10627
2h31min to 5h30min,0.4,0.41,0.4,0.35,0.4,0.4,0.42,0.35,0.41,0.39,0.4,0.43,0.45,0.38,0.19,0.4,0.39,0.44,0.4,0.38,0.42,0.43,0.39,0.3,0.44,0.33,0.3,0.48,0.45,0.45,0.43,0.3,0.43,0.4,0.38,0.4,0.36,0.37,0.39,0.43,0.42,0.37,0.43,0.4,0.41,0.35,0.42,0.41,0.42,0.42,0.4,0.37,0.3,0.41,0.38,0.41,0.42,0.37,0.4,0.47,0.39,0.39,0.34,0.43,0.25,0.4,0.39,0.41,0.41,0.41,0.41,0.39,0.4,0.4,0.41,0.41,0.41,0.41,0.41,0.4,0.42,0.4,0.4,0.41,0.36,0.4,0.41,0.4,0.37,0.4,0.4,0.43,0.33,0.4,0.41,0.42,0.46,0.42,0.38,0.39,0.44,0.44,0.4,0.36,0.44,0.43,0.38,0.36,0.38,0.44,0.31,- ,1,- ,- ,0.43,0.4
5h31min to 8h30min,8105,3946,4159,1327,1782,1870,3126,1327,1105,1273,1273,1080,1233,814,36,1112,1148,2187,2052,2718,1286,3010,2573,1064,539,1082,1303,1094,324,478,2221,1064,3833,957,2001,502,727,2803,427,2502,2289,1760,2718.0,1467.0,2159,635,1772,5477,1796,1111,3915,837,88,5347,2758,2185,3485,2432,6126,597,1131,2851,465,4605,184,1094,2967,2189,1855,1243,3585,1454,1823,3394,4142,4694,3076,2370,2853,1373,1031,3998,3036,6785,1271,3363,3146,1444,673,960,905,1408,655,822,965,1718,523,2770,1174,3618,1033,2339,1711,2997,1324,3231,1206,2344,1952,4959,1162,0,0,8105,0,443,7658
5h31min to 8h30min,0.29,0.29,0.28,0.37,0.28,0.27,0.29,0.37,0.27,0.28,0.27,0.26,0.3,0.31,0.42,0.31,0.32,0.27,0.27,0.31,0.27,0.26,0.3,0.43,0.25,0.35,0.38,0.18,0.21,0.27,0.29,0.43,0.27,0.29,0.34,0.27,0.31,0.33,0.25,0.29,0.26,0.31,0.29,0.28,0.28,0.3,0.26,0.3,0.25,0.28,0.3,0.33,0.4,0.29,0.3,0.27,0.28,0.33,0.3,0.22,0.28,0.28,0.33,0.29,0.31,0.33,0.3,0.29,0.26,0.32,0.3,0.3,0.25,0.3,0.28,0.3,0.28,0.32,0.29,0.29,0.31,0.3,0.27,0.29,0.3,0.3,0.28,0.3,0.36,0.29,0.26,0.29,0.37,0.25,0.27,0.28,0.26,0.3,0.3,0.28,0.27,0.28,0.3,0.3,0.27,0.3,0.29,0.29,0.3,0.29,0.28,- ,- ,1,- ,0.28,0.29
8h31min or more,3275,1708,1566,500,673,803,1299,500,432,470,573,441,407,450,20,563,582,853,802,1038,537,1087,1154,407,194,513,632,245,114,158,1012,407,1432,349,861,197,392,1287,163,953,829,891,1052.0,552.0,779,327,697,2152,766,417,1461,408,47,2225,1050,892,1441,942,2409,183,552,1156,255,1781,83,401,1217,791,866,437,1382,604,852,1247,1835,1772,1357,905,1067,619,379,1536,1354,2638,598,1360,1129,663,247,380,503,579,254,293,300,720,130,987,424,1728,337,777,701,1451,419,1121,502,1233,765,1668,835,0,0,0,3275,175,3099
8h31min or more,0.12,0.13,0.11,0.14,0.1,0.11,0.12,0.14,0.11,0.1,0.12,0.11,0.1,0.17,0.24,0.16,0.16,0.1,0.11,0.12,0.11,0.09,0.14,0.17,0.09,0.17,0.19,0.04,0.07,0.09,0.13,0.17,0.1,0.1,0.14,0.1,0.16,0.15,0.1,0.11,0.09,0.16,0.11,0.11,0.1,0.15,0.1,0.12,0.11,0.1,0.11,0.16,0.21,0.12,0.11,0.11,0.11,0.13,0.12,0.07,0.13,0.11,0.18,0.11,0.14,0.12,0.12,0.1,0.12,0.11,0.11,0.12,0.12,0.11,0.12,0.11,0.12,0.12,0.11,0.13,0.11,0.12,0.12,0.11,0.14,0.12,0.1,0.13,0.13,0.12,0.14,0.12,0.14,0.09,0.08,0.12,0.06,0.11,0.11,0.13,0.09,0.09,0.12,0.15,0.09,0.1,0.12,0.15,0.12,0.1,0.2,- ,- ,- ,1,0.11,0.12
